제목링크,내용
구로구, <b>교통</b> 사각지대 '교차로 스마트알림이' 설치,https://n.news.naver.com/mnews/article/003/0012201983?sid=102,교차로 스마트알림이는 교통사고 예방을 위해 운전자에게 보행자와 반대편 차량 접근상황을 알려주는 교통 오가는 어린이보호구역의 꺾인 골목 구간에 교차로 스마트알림이를 설치했다 구는 주민들의 교통안전을 
구로구, <b>교통</b> 사각지대 스마트알림이 설치,https://n.news.naver.com/mnews/article/277/0005338772?sid=102,교차로 스마트알림이는 교통사고 예방을 위해 운전자에게 보행자와 반대편 차량 접근상황을 알려주는 오가는 어린이보호구역의 꺾인 골목 구간에 교차로 스마트알림이를 설치했다 구는 앞서 주민들의 
대전경찰청, 이륜차 후면 무인<b>교통</b>단속장비 단속,https://n.news.naver.com/mnews/article/468/0001000003?sid=102,건양대병원가수원 어린이보호구역 등 총 개소이며 월 일부터 개월간 시범운영계도 기간을 거쳐 월 일부터 단속에 들어갈 예정이다 대전경찰청은 대전시교통정책과와 함께 이륜차 사고 예방 난폭운전 
[2023 서울 행감] <b>어린이</b>공원과 주차장 출입구 인접…안전<b>사고</b> 위험,https://n.news.naver.com/mnews/article/031/0000786578?sid=004,이 의원은 최근 어린이 교통사고가 빈번하게 발생하고 있고 어린이의 행동 특성상 발생하는 교통사고 대부분이 대형 인명사고로 이어지고 있다며 공원의 조성과 관리 책임이 있는 푸른도시여가국에서 어린이 행동 
구로구, <b>교통</b> 사각지대 스마트알림이 설치,http://www.shinailbo.co.kr/news/articleView.html?idxno=1784408,교차로 스마트알림이는 교통사고 예방을 위해 운전자에게 보행자와 반대편 차량 접근상황을 알려주는 오가는 어린이보호구역의 꺾인 골목 구간에 교차로 스마트알림이를 설치했다 구는 앞서 주민들의 
영도구, 「찾아가는 <b>교통</b>약자 <b>교통</b>안전교실」운영,https://n.news.naver.com/mnews/article/082/0001241147?sid=102,부산시 영도구구청장 김기재는 지난 월부터 월까지 교통 및 보행약자인 어린이 및 어르신을 대상으로 교통사고 예방을 위해 찾아가는 교통약자 교통 안전교실을 운영하였다 교통 및 보행약자인 어린이 
구로구, 통학로 등 <b>교통</b> 사각지대 스마트알림이 설치,http://www.m-i.kr/news/articleView.html?idxno=1065124,교차로 스마트알림이는 교통사고 예방을 위해 운전자에게 보행자와 반대편 차량 접근상황을 알려주는 오가는 어린이보호구역의 꺾인 골목 구간에 교차로 스마트알림이를 설치했다 구는 앞서 주민들의 교통안전을 
시, <b>어린이</b>보호구역 노란색 횡단보도 전면 설치,http://www.gnmaeil.com/news/articleView.html?idxno=529493,노란색 횡단보도는 운전자가 어린이보호구역을 쉽게 인식할 수 있어 어린이교통사고를 예방하자는 취지에서 도입됐으며 도로교통법 시행규칙 개정으로 지난 월부터 시행에 들어갔다 시는 이미 개정안 시행 전인 지난 
스쿨존 '시간제 속도제한' 노면에도 표시…&quot;운전자 쉽게 인지&quot;,https://n.news.naver.com/mnews/article/001/0014308986?sid=102,단 속도 상향은 안전을 위해  편도 차로 이상의 간선도로  보도차도 분리 여부  보행자 신호기 설치  낮은 어린이 교통사고 빈도 등 여러 필수 요건을 만족해야 한다 년간 시범 운영에 이어 올해 월 정식 
박완수 도지사 &quot;<b>어린이 교통사고</b> 없애는 날까지 힘쓰겠다&quot;,https://n.news.naver.com/mnews/article/047/0002411762?sid=102,경남녹색어머니연합회 일 경남도청 어린이 교통사고 없애기 촉진대회   일 경남도청 신관 대강당에서 열린 어린이 교통사고 없애기 촉진대회  경남도청 박완수 경남도지사는 어린이들의 교통사고를 방지하고 
